Trace1,
Freq,,Amp,,
           251437306,Hz,              -62.38, dBm,
           252033129,Hz,              -64.71, dBm,
           252628952,Hz,              -64.05, dBm,
           253224775,Hz,              -63.89, dBm,
           253820598,Hz,              -63.34, dBm,
           254416421,Hz,              -62.72, dBm,
           255012244,Hz,              -63.32, dBm,
           255608067,Hz,              -62.97, dBm,
           256203890,Hz,              -62.18, dBm,
           256799713,Hz,              -64.87, dBm,
           257395536,Hz,              -63.78, dBm,
           257991359,Hz,              -61.84, dBm,
           258587182,Hz,              -64.01, dBm,
           259183005,Hz,              -61.82, dBm,
           259778828,Hz,              -63.90, dBm,
           260374651,Hz,              -61.50, dBm,
           260970474,Hz,              -60.78, dBm,
           261566297,Hz,              -59.16, dBm,
           262162120,Hz,              -61.26, dBm,
           262757943,Hz,              -63.07, dBm,
           263353766,Hz,              -62.01, dBm,
           263949589,Hz,              -63.71, dBm,
           264545412,Hz,              -62.61, dBm,
           265141235,Hz,              -63.79, dBm,
           265737058,Hz,              -63.96, dBm,
           266332881,Hz,              -63.88, dBm,
           266928704,Hz,              -64.64, dBm,
           267524527,Hz,              -64.07, dBm,
           268120350,Hz,              -65.77, dBm,
           268716173,Hz,              -65.24, dBm,
           269311996,Hz,              -67.13, dBm,
           269907819,Hz,              -63.42, dBm,
           270503642,Hz,              -61.25, dBm,
           271099465,Hz,              -62.91, dBm,
           271695288,Hz,              -63.46, dBm,
           272291111,Hz,              -62.68, dBm,
           272886934,Hz,              -65.93, dBm,
           273482757,Hz,              -64.24, dBm,
           274078580,Hz,              -64.18, dBm,
           274674403,Hz,              -63.72, dBm,
           275270226,Hz,              -64.98, dBm,
           275866049,Hz,              -61.92, dBm,
           276461872,Hz,              -64.18, dBm,
           277057695,Hz,              -65.30, dBm,
           277653518,Hz,              -65.27, dBm,
           278249341,Hz,              -63.25, dBm,
           278845164,Hz,              -63.79, dBm,
           279440987,Hz,              -64.84, dBm,
           280036810,Hz,              -64.77, dBm,
           280632633,Hz,              -64.57, dBm,
           281228456,Hz,              -63.33, dBm,
           281824279,Hz,              -62.96, dBm,
           282420102,Hz,              -65.10, dBm,
           283015925,Hz,              -66.56, dBm,
           283611748,Hz,              -65.41, dBm,
           284207571,Hz,              -64.01, dBm,
           284803394,Hz,              -63.01, dBm,
           285399217,Hz,              -63.83, dBm,
           285995040,Hz,              -63.41, dBm,
           286590863,Hz,              -63.88, dBm,
           287186686,Hz,              -60.52, dBm,
           287782509,Hz,              -63.15, dBm,
           288378332,Hz,              -63.72, dBm,
           288974155,Hz,              -64.15, dBm,
           289569978,Hz,              -64.22, dBm,
           290165801,Hz,              -63.95, dBm,
           290761624,Hz,              -62.28, dBm,
           291357447,Hz,              -63.42, dBm,
           291953270,Hz,              -63.27, dBm,
           292549093,Hz,              -65.21, dBm,
           293144916,Hz,              -64.89, dBm,
           293740739,Hz,              -62.23, dBm,
           294336562,Hz,              -65.30, dBm,
           294932385,Hz,              -64.06, dBm,
           295528208,Hz,              -63.50, dBm,
           296124031,Hz,              -64.04, dBm,
           296719854,Hz,              -64.71, dBm,
           297315677,Hz,              -63.00, dBm,
           297911500,Hz,              -63.64, dBm,
           298507323,Hz,              -64.39, dBm,
           299103146,Hz,              -62.28, dBm,
           299698969,Hz,              -62.85, dBm,
           300294792,Hz,              -61.76, dBm,
           300890615,Hz,              -58.14, dBm,
           301486438,Hz,              -58.96, dBm,
           302082261,Hz,              -60.66, dBm,
           302678084,Hz,              -64.05, dBm,
           303273907,Hz,              -62.73, dBm,
           303869730,Hz,              -64.33, dBm,
           304465553,Hz,              -64.24, dBm,
           305061376,Hz,              -63.90, dBm,
           305657199,Hz,              -64.50, dBm,
           306253022,Hz,              -62.93, dBm,
           306848845,Hz,              -62.88, dBm,
           307444668,Hz,              -63.28, dBm,
